age,employment_type,monthly_income,monthly_expenses,existing_loans,own_contribution,property_value,dependents,target
8888.0,permanent,20000.0,6000.0,0,20000.0,355000.0,0,0
8888.0,permanent,61000.0,18300.0,0,20000.0,355000.0,0,0
8888.0,permanent,40000.0,12000.0,0,10000.0,205000.0,0,0
8888.0,permanent,33333.333333333336,10000.0,0,40000.0,355000.0,0,0
8888.0,permanent,76666.66666666667,23000.0,0,30000.0,605000.0,0,0
8888.0,permanent,10000.0,3000.0,0,70000.0,115000.0,0,0
8888.0,permanent,50000.0,15000.0,0,320000.0,1005000.0,0,1
8888.0,permanent,26666.666666666668,8000.0,0,280000.0,335000.0,0,1
8888.0,permanent,6666.666666666667,2000.0,0,500000.0,555000.0,0,0
8888.0,permanent,50000.0,15000.0,0,100000.0,555000.0,0,1
8888.0,permanent,7666.666666666667,2300.0,0,0.0,285000.0,0,1
8888.0,permanent,18333.333333333332,5499.999999999999,0,160000.0,235000.0,0,1
8888.0,permanent,8666.666666666666,2599.9999999999995,0,90000.0,155000.0,0,0
8888.0,permanent,36666.666666666664,10999.999999999998,0,160000.0,205000.0,0,1
8888.0,permanent,27000.0,8100.0,0,170000.0,215000.0,0,1
8888.0,permanent,127666.66666666667,38300.0,0,60000.0,645000.0,0,1
8888.0,permanent,32666.666666666668,9800.0,0,130000.0,175000.0,0,1
8888.0,permanent,103000.0,30900.0,0,70000.0,285000.0,0,1
8888.0,permanent,103000.0,30900.0,0,110000.0,325000.0,0,1
8888.0,permanent,222000.0,66600.0,0,190000.0,755000.0,0,0
8888.0,permanent,222000.0,66600.0,0,250000.0,995000.0,0,0
8888.0,permanent,60000.0,18000.0,0,180000.0,605000.0,0,1
8888.0,permanent,78666.66666666667,23600.0,0,350000.0,1155000.0,0,1
8888.0,permanent,168000.0,50400.0,0,140000.0,535000.0,0,1
8888.0,permanent,168000.0,50400.0,0,130000.0,475000.0,0,1
8888.0,permanent,136000.0,40800.0,0,190000.0,565000.0,0,1
8888.0,permanent,97000.0,29100.0,0,1090000.0,2325000.0,0,0
8888.0,permanent,17333.333333333332,5199.999999999999,0,170000.0,275000.0,0,1
8888.0,permanent,140000.0,42000.0,0,1880000.0,2285000.0,0,0
8888.0,permanent,156000.0,46800.0,0,5200000.0,6105000.0,0,1
8888.0,permanent,92333.33333333333,27699.999999999996,0,1890000.0,2095000.0,0,1
8888.0,permanent,110000.0,33000.0,0,2450000.0,2955000.0,0,1
8888.0,permanent,17666.666666666668,5300.0,0,60000.0,205000.0,0,0
8888.0,permanent,15000.0,4500.0,0,60000.0,105000.0,0,0
8888.0,permanent,123000.0,36900.0,0,90000.0,265000.0,0,1
8888.0,permanent,566000.0,169800.0,0,1050000.0,1555000.0,0,1
8888.0,permanent,14333.333333333334,4300.0,0,210000.0,285000.0,0,1
8888.0,permanent,30666.666666666668,9200.0,0,30000.0,125000.0,0,1
8888.0,permanent,318000.0,95400.0,0,190000.0,365000.0,0,1
8888.0,permanent,54000.0,16200.0,0,40000.0,175000.0,0,1
8888.0,permanent,43333.333333333336,13000.0,0,10000.0,45000.0,0,1
8888.0,permanent,56666.666666666664,17000.0,0,40000.0,135000.0,0,1
8888.0,permanent,690000.0,207000.0,0,40000.0,205000.0,0,1
8888.0,permanent,56666.666666666664,17000.0,0,20000.0,75000.0,0,1
8888.0,permanent,56666.666666666664,17000.0,0,30000.0,145000.0,0,1
8888.0,permanent,73333.33333333333,21999.999999999996,0,40000.0,205000.0,0,1
8888.0,permanent,73333.33333333333,21999.999999999996,0,30000.0,145000.0,0,1
